course_id,title,provider,domain,level,duration,rating,students,format,skills,description
1,Complete JavaScript Course 2024,Udemy,web-development,Beginner,40 hours,4.7,125000,video,"JavaScript, Programming, Web Development","From zero to hero: Learn JavaScript from scratch with hands-on projects"
2,React - The Complete Guide,Coursera,web-development,Intermediate,50 hours,4.8,200000,video,"React, JavaScript, Frontend Development","Master React with hooks, Redux, routing, and modern React patterns"
3,Node.js Backend Development,Udemy,web-development,Intermediate,45 hours,4.6,150000,video,"Node.js, Express, Backend Development","Build full-stack web applications with Node.js and modern backend technologies"
4,SQL for Data Science,edX,data-science,Beginner,30 hours,4.5,80000,text,"SQL, Database, Data Analysis","Learn SQL fundamentals and database management for data analysis"
5,Git & GitHub Masterclass,Pluralsight,computer-science,Beginner,15 hours,4.7,95000,video,"Git, Version Control, GitHub","Complete guide to version control with Git and collaborative workflows"
6,RESTful API Design & Development,Coursera,web-development,Advanced,35 hours,4.6,60000,video,"API, REST, Backend Development","Design and build scalable REST APIs with best practices and security"
7,Python for Data Science,Udemy,data-science,Beginner,40 hours,4.7,180000,video,"Python, Data Science, Programming","Learn Python programming for data analysis and visualization"
8,Machine Learning Fundamentals,Coursera,ai-ml,Intermediate,60 hours,4.8,120000,video,"Machine Learning, Python, Data Science","Introduction to machine learning algorithms and applications"
9,Mobile App Development with React Native,Udemy,mobile-development,Intermediate,50 hours,4.6,90000,video,"React Native, Mobile Development, JavaScript","Build cross-platform mobile apps with React Native"
10,iOS Development with Swift,Pluralsight,mobile-development,Advanced,55 hours,4.7,75000,video,"Swift, iOS, Mobile Development","Master iOS app development using Swift and Xcode"
11,Cybersecurity Fundamentals,edX,cybersecurity,Beginner,35 hours,4.5,65000,text,"Cybersecurity, Network Security, Ethical Hacking","Learn the fundamentals of cybersecurity and network protection"
12,Advanced Penetration Testing,Udemy,cybersecurity,Advanced,45 hours,4.6,45000,video,"Penetration Testing, Security, Ethical Hacking","Advanced techniques for security testing and vulnerability assessment"
13,UI/UX Design Principles,Coursera,design,Beginner,30 hours,4.7,110000,video,"UI/UX Design, Design Tools, User Research","Learn design principles and create user-friendly interfaces"
14,Digital Marketing Mastery,Udemy,marketing,Intermediate,40 hours,4.6,95000,video,"Digital Marketing, SEO, Content Marketing","Comprehensive guide to digital marketing strategies and tools"
15,Data Structures and Algorithms,Pluralsight,computer-science,Intermediate,45 hours,4.8,85000,video,"Algorithms, Data Structures, Programming","Master fundamental algorithms and data structures"
16,Deep Learning Specialization,Coursera,ai-ml,Advanced,70 hours,4.9,55000,video,"Deep Learning, Neural Networks, Python","Advanced deep learning techniques and neural network architectures"
17,Database Design & Management,edX,computer-science,Beginner,25 hours,4.5,70000,text,"Database Design, SQL, Data Modeling","Learn to design and manage relational databases"
18,Web Security Essentials,Pluralsight,web-development,Intermediate,30 hours,4.6,60000,video,"Web Security, HTTPS, Authentication","Essential security practices for web development"
19,Business Strategy & Management,Coursera,business,Intermediate,40 hours,4.5,80000,video,"Business Strategy, Management, Leadership","Strategic thinking and management principles for business success"
20,Graphic Design Fundamentals,Udemy,design,Beginner,35 hours,4.6,105000,video,"Graphic Design, Design Tools, Creativity","Learn the fundamentals of graphic design and visual communication"

